pair_id,n_pairs,c_type,v_type,grammatical,ungrammatical,ungram_source,alignment,embed,NP1,NP1_anim,NP1_number,NP1_type,NP2,NP2_anim,NP2_number,NP2_type,V1,V1_lemma,V1_class,V1_tense,V2,V2_lemma,V2_class,v2_object,crit_tokens,source,notes,full_paradigm,bigram_confound,sentence_length_grammatical,n_tokens_grammatical,n_tokens_ungrammatical,crit_token_positions,grammatical_logprob,ungrammatical_logprob,logprob_diff,V2_surface,NP3,NP3_anim,NP3_number,NP3_type,V3,V3_surface,V3_class,NP4,NP4_anim,NP4_number,NP4_type,V3_lemma,V4,V4_lemma,V4_class,V4_surface
2np_t1_001_A,2,1,A,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat Jan de kinderen zwemmen zag.,verb_order,False,Ik weet dat,Jan,animate,sg,proper,de kinderen,animate,pl,common,zag,zien,perception,past,zwemmen,zwemmen,motion,,"[""zag"", ""zwemmen""]","adapted from Bresnan, Kaplan, Peters & Zaenen (1982), Example 1",zien + zwemmen is a plausible Dutch bigram; bigram_confound flagged for inspection in mechanistic analysis.,True,,8,,,,,,,,,,,,,,,,,,,,,,,
2np_t1_001_B,2,1,B,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat de kinderen Jan zag zwemmen.,agreement_violation,False,Ik weet dat,Jan,animate,sg,proper,de kinderen,animate,pl,common,zag,zien,perception,past,zwemmen,zwemmen,motion,,"[""zag"", ""zwemmen""]","adapted from Bresnan, Kaplan, Peters & Zaenen (1982), Example 1","Ungrammaticality driven by subject-verb agreement violation (de kinderen + zag: plural subject, singular verb), not NP-verb alignment. Do not use for alignment-specific analysis. zien + zwemmen is a plausible Dutch bigram; bigram_confound flagged for inspection in mechanistic analysis.",True,,8,,,,,,,,,,,,,,,,,,,,,,,
2np_t1_001_C,2,1,C,Ik weet dat Jan de kinderen zag zwemmen.,Ik weet dat de kinderen Jan zwemmen zag.,agreement_violation,True,Ik weet dat,Jan,animate,sg,proper,de kinderen,animate,pl,common,zag,zien,perception,past,zwemmen,zwemmen,motion,,"[""zag"", ""zwemmen""]","adapted from Bresnan, Kaplan, Peters & Zaenen (1982), Example 1",Alignment restored by double reversal; ungrammaticality still present via agreement violation (de kinderen + zag). zien + zwemmen is a plausible Dutch bigram; bigram_confound flagged for inspection in mechanistic analysis. Human validation required.,True,,8,,,,,,,,,,,,,,,,,,,,,,,
2np_t1_002_A,2,1,A,Hij weet dat de danser Jan hoort spelen.,Hij weet dat de danser Jan spelen hoort.,verb_order,False,Hij weet dat,de danser,animate,sg,common,Jan,animate,sg,proper,hoort,horen,perception,present,spelen,,activity,,"[""hoort"", ""spelen""]",generated,,False,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_003_A,2,1,A,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat de vrienden Jan lopen laten.,verb_order,False,Ik denk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,laten,laten,causative,present,lopen,,motion,,"[""laten"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_003_B,2,1,B,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat Jan de vrienden laten lopen.,agreement_violation,False,Ik denk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,laten,laten,causative,present,lopen,,motion,,"[""de vrienden"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_003_C,2,1,C,Ik denk dat de vrienden Jan laten lopen.,Ik denk dat Jan de vrienden lopen laten.,agreement_violation,True,Ik denk dat,de vrienden,animate,pl,common,Jan,animate,sg,proper,laten,laten,causative,present,lopen,,motion,,"[""de vrienden"", ""Jan"", ""laten"", ""lopen""]",generated,,True,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_004_A,2,1,A,Ik merk dat de dokter Jan ziet zingen.,Ik merk dat de dokter Jan zingen ziet.,verb_order,False,Ik merk dat,de dokter,animate,sg,common,Jan,animate,sg,proper,ziet,zien,perception,present,zingen,,expression,,"[""ziet"", ""zingen""]",generated,,False,,8,,,,,,,zingen,,,,,,,,,,,,,,,,
2np_t1_005_A,2,1,A,Hij gelooft dat Jan de man ziet springen.,Hij gelooft dat Jan de man springen ziet.,verb_order,False,Hij gelooft dat,Jan,animate,sg,proper,de man,animate,sg,common,ziet,zien,perception,present,springen,,motion,,"[""ziet"", ""springen""]",generated,,False,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_006_A,2,1,A,Hij weet dat de leraar Jan laat springen.,Hij weet dat de leraar Jan springen laat.,verb_order,False,Hij weet dat,de leraar,animate,sg,common,Jan,animate,sg,proper,laat,laten,causative,present,springen,,motion,,"[""laat"", ""springen""]",generated,,False,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_007_A,2,1,A,Ik weet dat de leraar Marie laat lachen.,Ik weet dat de leraar Marie lachen laat.,verb_order,False,Ik weet dat,de leraar,animate,sg,common,Marie,animate,sg,proper,laat,laten,causative,present,lachen,,expression,,"[""laat"", ""lachen""]",generated,,False,,8,,,,,,,lachen,,,,,,,,,,,,,,,,
2np_t1_008_A,2,1,A,Hij verwacht dat de moeder Piet hoort spelen.,Hij verwacht dat de moeder Piet spelen hoort.,verb_order,False,Hij verwacht dat,de moeder,animate,sg,common,Piet,animate,sg,proper,hoort,horen,perception,present,spelen,,activity,,"[""hoort"", ""spelen""]",generated,,False,,8,,,,,,,spelen,,,,,,,,,,,,,,,,
2np_t1_009_A,2,1,A,Ze weten dat de ouders Jan horen dansen.,Ze weten dat de ouders Jan dansen horen.,verb_order,False,Ze weten dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""horen"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_009_B,2,1,B,Ze weten dat de ouders Jan horen dansen.,Ze weten dat Jan de ouders horen dansen.,agreement_violation,False,Ze weten dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""de ouders"", ""Jan""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_009_C,2,1,C,Ze weten dat de ouders Jan horen dansen.,Ze weten dat Jan de ouders dansen horen.,agreement_violation,True,Ze weten dat,de ouders,animate,pl,common,Jan,animate,sg,proper,horen,horen,perception,present,dansen,,activity,,"[""de ouders"", ""Jan"", ""horen"", ""dansen""]",generated,,True,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_010_A,2,1,A,Hij weet dat de agent Marie ziet lopen.,Hij weet dat de agent Marie lopen ziet.,verb_order,False,Hij weet dat,de agent,animate,sg,common,Marie,animate,sg,proper,ziet,zien,perception,present,lopen,,motion,,"[""ziet"", ""lopen""]",generated,,False,,8,,,,,,,lopen,,,,,,,,,,,,,,,,
2np_t1_011_A,2,1,A,Hij verwacht dat de directeur Marie ziet dansen.,Hij verwacht dat de directeur Marie dansen ziet.,verb_order,False,Hij verwacht dat,de directeur,animate,sg,common,Marie,animate,sg,proper,ziet,zien,perception,present,dansen,,activity,,"[""ziet"", ""dansen""]",generated,,False,,8,,,,,,,dansen,,,,,,,,,,,,,,,,
2np_t1_012_A,2,1,A,Ze weten dat de ouders Marie zien springen.,Ze weten dat de ouders Marie springen zien.,verb_order,False,Ze weten dat,de ouders,animate,pl,common,Marie,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""zien"", ""springen""]",generated,,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_012_B,2,1,B,Ze weten dat de ouders Marie zien springen.,Ze weten dat Marie de ouders zien springen.,agreement_violation,False,Ze weten dat,de ouders,animate,pl,common,Marie,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""de ouders"", ""Marie""]",generated,Agreement violation: do not use for alignment-specific analysis.,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
2np_t1_012_C,2,1,C,Ze weten dat de ouders Marie zien springen.,Ze weten dat Marie de ouders springen zien.,agreement_violation,True,Ze weten dat,de ouders,animate,pl,common,Marie,animate,sg,proper,zien,zien,perception,present,springen,,motion,,"[""de ouders"", ""Marie"", ""zien"", ""springen""]",generated,,True,,8,,,,,,,springen,,,,,,,,,,,,,,,,
