pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
3np_t1_001_A,1,3,A,perception,zien,de studenten,Marie,animate,laten,verb_order,false,Hij weet dat de studenten Marie de fiets zien laten stoppen.,Hij weet dat de studenten Marie de fiets stoppen laten zien.,"[""zien"", ""laten"", ""stoppen""]",,
3np_t1_001_B,1,3,B,perception,zien,de studenten,Marie,animate,laten,selectional_restriction,false,Hij weet dat de studenten Marie de fiets zien laten stoppen.,Hij weet dat de fiets Marie de studenten zien laten stoppen.,"[""de studenten"", ""Marie"", ""de fiets""]",,
3np_t1_001_C,1,3,C,perception,zien,de studenten,Marie,animate,laten,selectional_restriction,true,Hij weet dat de studenten Marie de fiets zien laten stoppen.,Hij weet dat de fiets Marie de studenten stoppen laten zien.,"[""de studenten"", ""Marie"", ""de fiets"", ""zien"", ""laten"", ""stoppen""]",,
3np_t1_001_D1,1,3,D1,perception,zien,de studenten,Marie,animate,laten,verb_order_partial,false,Hij weet dat de studenten Marie de fiets zien laten stoppen.,Hij weet dat de studenten Marie de fiets zien stoppen laten.,"[""laten"", ""stoppen""]",,
3np_t1_001_D2,1,3,D2,perception,zien,de studenten,Marie,animate,laten,verb_order_partial,false,Hij weet dat de studenten Marie de fiets zien laten stoppen.,Hij weet dat de studenten Marie de fiets laten zien stoppen.,"[""zien"", ""laten""]",,
3np_t1_002_A,1,3,A,perception,zien,de directeur,Jan,animate,laten,verb_order,false,Ik denk dat de directeur Jan de leraren ziet laten springen.,Ik denk dat de directeur Jan de leraren springen laten ziet.,"[""ziet"", ""laten"", ""springen""]",,
3np_t1_002_B,1,3,B,perception,zien,de directeur,Jan,animate,laten,agreement_violation,false,Ik denk dat de directeur Jan de leraren ziet laten springen.,Ik denk dat de leraren Jan de directeur ziet laten springen.,"[""de directeur"", ""Jan"", ""de leraren""]",,
3np_t1_002_C,1,3,C,perception,zien,de directeur,Jan,animate,laten,agreement_violation,true,Ik denk dat de directeur Jan de leraren ziet laten springen.,Ik denk dat de leraren Jan de directeur springen laten ziet.,"[""de directeur"", ""Jan"", ""de leraren"", ""ziet"", ""laten"", ""springen""]",,
3np_t1_002_D1,1,3,D1,perception,zien,de directeur,Jan,animate,laten,verb_order_partial,false,Ik denk dat de directeur Jan de leraren ziet laten springen.,Ik denk dat de directeur Jan de leraren ziet springen laten.,"[""laten"", ""springen""]",,
3np_t1_002_D2,1,3,D2,perception,zien,de directeur,Jan,animate,laten,verb_order_partial,false,Ik denk dat de directeur Jan de leraren ziet laten springen.,Ik denk dat de directeur Jan de leraren laten ziet springen.,"[""ziet"", ""laten""]",,
3np_t1_003_A,1,3,A,perception,horen,de vrienden,Marie,animate,laten,verb_order,false,Ik merk dat de vrienden Marie de boot horen laten rijden.,Ik merk dat de vrienden Marie de boot rijden laten horen.,"[""horen"", ""laten"", ""rijden""]",,
3np_t1_003_B,1,3,B,perception,horen,de vrienden,Marie,animate,laten,selectional_restriction,false,Ik merk dat de vrienden Marie de boot horen laten rijden.,Ik merk dat de boot Marie de vrienden horen laten rijden.,"[""de vrienden"", ""Marie"", ""de boot""]",,
3np_t1_003_C,1,3,C,perception,horen,de vrienden,Marie,animate,laten,selectional_restriction,true,Ik merk dat de vrienden Marie de boot horen laten rijden.,Ik merk dat de boot Marie de vrienden rijden laten horen.,"[""de vrienden"", ""Marie"", ""de boot"", ""horen"", ""laten"", ""rijden""]",,
3np_t1_003_D1,1,3,D1,perception,horen,de vrienden,Marie,animate,laten,verb_order_partial,false,Ik merk dat de vrienden Marie de boot horen laten rijden.,Ik merk dat de vrienden Marie de boot horen rijden laten.,"[""laten"", ""rijden""]",,
3np_t1_003_D2,1,3,D2,perception,horen,de vrienden,Marie,animate,laten,verb_order_partial,false,Ik merk dat de vrienden Marie de boot horen laten rijden.,Ik merk dat de vrienden Marie de boot laten horen rijden.,"[""horen"", ""laten""]",,
3np_t1_004_A,1,3,A,causative,laten,de danser,Jan,animate,zien,verb_order,false,Ik weet dat de danser Jan de fiets laat zien stoppen.,Ik weet dat de danser Jan de fiets stoppen zien laat.,"[""laat"", ""zien"", ""stoppen""]",,
3np_t1_004_B,1,3,B,causative,laten,de danser,Jan,animate,zien,selectional_restriction,false,Ik weet dat de danser Jan de fiets laat zien stoppen.,Ik weet dat de fiets Jan de danser laat zien stoppen.,"[""de danser"", ""Jan"", ""de fiets""]",,
3np_t1_004_C,1,3,C,causative,laten,de danser,Jan,animate,zien,selectional_restriction,true,Ik weet dat de danser Jan de fiets laat zien stoppen.,Ik weet dat de fiets Jan de danser stoppen zien laat.,"[""de danser"", ""Jan"", ""de fiets"", ""laat"", ""zien"", ""stoppen""]",,
3np_t1_004_D1,1,3,D1,causative,laten,de danser,Jan,animate,zien,verb_order_partial,false,Ik weet dat de danser Jan de fiets laat zien stoppen.,Ik weet dat de danser Jan de fiets laat stoppen zien.,"[""zien"", ""stoppen""]",,
3np_t1_004_D2,1,3,D2,causative,laten,de danser,Jan,animate,zien,verb_order_partial,false,Ik weet dat de danser Jan de fiets laat zien stoppen.,Ik weet dat de danser Jan de fiets zien laat stoppen.,"[""laat"", ""zien""]",,
3np_t1_005_A,1,3,A,perception,horen,de moeder,Marie,animate,laten,verb_order,false,Hij weet dat de moeder Marie de bus hoort laten vertrekken.,Hij weet dat de moeder Marie de bus vertrekken laten hoort.,"[""hoort"", ""laten"", ""vertrekken""]",,
3np_t1_005_B,1,3,B,perception,horen,de moeder,Marie,animate,laten,selectional_restriction,false,Hij weet dat de moeder Marie de bus hoort laten vertrekken.,Hij weet dat de bus Marie de moeder hoort laten vertrekken.,"[""de moeder"", ""Marie"", ""de bus""]",,
3np_t1_005_C,1,3,C,perception,horen,de moeder,Marie,animate,laten,selectional_restriction,true,Hij weet dat de moeder Marie de bus hoort laten vertrekken.,Hij weet dat de bus Marie de moeder vertrekken laten hoort.,"[""de moeder"", ""Marie"", ""de bus"", ""hoort"", ""laten"", ""vertrekken""]",,
3np_t1_005_D1,1,3,D1,perception,horen,de moeder,Marie,animate,laten,verb_order_partial,false,Hij weet dat de moeder Marie de bus hoort laten vertrekken.,Hij weet dat de moeder Marie de bus hoort vertrekken laten.,"[""laten"", ""vertrekken""]",,
3np_t1_005_D2,1,3,D2,perception,horen,de moeder,Marie,animate,laten,verb_order_partial,false,Hij weet dat de moeder Marie de bus hoort laten vertrekken.,Hij weet dat de moeder Marie de bus laten hoort vertrekken.,"[""hoort"", ""laten""]",,
3np_t1_006_A,1,3,A,perception,horen,de kinderen,Piet,animate,laten,verb_order,false,Hij verwacht dat de kinderen Piet de studenten horen laten spelen.,Hij verwacht dat de kinderen Piet de studenten spelen laten horen.,"[""horen"", ""laten"", ""spelen""]",,
3np_t1_006_D1,1,3,D1,perception,horen,de kinderen,Piet,animate,laten,verb_order_partial,false,Hij verwacht dat de kinderen Piet de studenten horen laten spelen.,Hij verwacht dat de kinderen Piet de studenten horen spelen laten.,"[""laten"", ""spelen""]",,
3np_t1_006_D2,1,3,D2,perception,horen,de kinderen,Piet,animate,laten,verb_order_partial,false,Hij verwacht dat de kinderen Piet de studenten horen laten spelen.,Hij verwacht dat de kinderen Piet de studenten laten horen spelen.,"[""horen"", ""laten""]",,
3np_t1_007_A,1,3,A,perception,horen,de studenten,Jan,animate,laten,verb_order,false,Ik merk dat de studenten Jan de ouders horen laten spelen.,Ik merk dat de studenten Jan de ouders spelen laten horen.,"[""horen"", ""laten"", ""spelen""]",,
3np_t1_007_D1,1,3,D1,perception,horen,de studenten,Jan,animate,laten,verb_order_partial,false,Ik merk dat de studenten Jan de ouders horen laten spelen.,Ik merk dat de studenten Jan de ouders horen spelen laten.,"[""laten"", ""spelen""]",,
3np_t1_007_D2,1,3,D2,perception,horen,de studenten,Jan,animate,laten,verb_order_partial,false,Ik merk dat de studenten Jan de ouders horen laten spelen.,Ik merk dat de studenten Jan de ouders laten horen spelen.,"[""horen"", ""laten""]",,
3np_t1_008_A,1,3,A,perception,zien,de kinderen,Marie,animate,laten,verb_order,false,Ik weet dat de kinderen Marie de trein zien laten bewegen.,Ik weet dat de kinderen Marie de trein bewegen laten zien.,"[""zien"", ""laten"", ""bewegen""]",,
3np_t1_008_B,1,3,B,perception,zien,de kinderen,Marie,animate,laten,selectional_restriction,false,Ik weet dat de kinderen Marie de trein zien laten bewegen.,Ik weet dat de trein Marie de kinderen zien laten bewegen.,"[""de kinderen"", ""Marie"", ""de trein""]",,
3np_t1_008_C,1,3,C,perception,zien,de kinderen,Marie,animate,laten,selectional_restriction,true,Ik weet dat de kinderen Marie de trein zien laten bewegen.,Ik weet dat de trein Marie de kinderen bewegen laten zien.,"[""de kinderen"", ""Marie"", ""de trein"", ""zien"", ""laten"", ""bewegen""]",,
3np_t1_008_D1,1,3,D1,perception,zien,de kinderen,Marie,animate,laten,verb_order_partial,false,Ik weet dat de kinderen Marie de trein zien laten bewegen.,Ik weet dat de kinderen Marie de trein zien bewegen laten.,"[""laten"", ""bewegen""]",,
3np_t1_008_D2,1,3,D2,perception,zien,de kinderen,Marie,animate,laten,verb_order_partial,false,Ik weet dat de kinderen Marie de trein zien laten bewegen.,Ik weet dat de kinderen Marie de trein laten zien bewegen.,"[""zien"", ""laten""]",,
3np_t1_009_A,1,3,A,perception,zien,de kinderen,Piet,animate,laten,verb_order,false,Ik merk dat de kinderen Piet Marie zien laten lopen.,Ik merk dat de kinderen Piet Marie lopen laten zien.,"[""zien"", ""laten"", ""lopen""]",,
3np_t1_009_B,1,3,B,perception,zien,de kinderen,Piet,animate,laten,agreement_violation,false,Ik merk dat de kinderen Piet Marie zien laten lopen.,Ik merk dat Marie Piet de kinderen zien laten lopen.,"[""de kinderen"", ""Piet"", ""Marie""]",,
3np_t1_009_C,1,3,C,perception,zien,de kinderen,Piet,animate,laten,agreement_violation,true,Ik merk dat de kinderen Piet Marie zien laten lopen.,Ik merk dat Marie Piet de kinderen lopen laten zien.,"[""de kinderen"", ""Piet"", ""Marie"", ""zien"", ""laten"", ""lopen""]",,
3np_t1_009_D1,1,3,D1,perception,zien,de kinderen,Piet,animate,laten,verb_order_partial,false,Ik merk dat de kinderen Piet Marie zien laten lopen.,Ik merk dat de kinderen Piet Marie zien lopen laten.,"[""laten"", ""lopen""]",,
3np_t1_009_D2,1,3,D2,perception,zien,de kinderen,Piet,animate,laten,verb_order_partial,false,Ik merk dat de kinderen Piet Marie zien laten lopen.,Ik merk dat de kinderen Piet Marie laten zien lopen.,"[""zien"", ""laten""]",,
3np_t1_010_A,1,3,A,perception,zien,de kinderen,Piet,animate,laten,verb_order,false,Hij weet dat de kinderen Piet de trein zien laten stilstaan.,Hij weet dat de kinderen Piet de trein stilstaan laten zien.,"[""zien"", ""laten"", ""stilstaan""]",,
3np_t1_010_B,1,3,B,perception,zien,de kinderen,Piet,animate,laten,selectional_restriction,false,Hij weet dat de kinderen Piet de trein zien laten stilstaan.,Hij weet dat de trein Piet de kinderen zien laten stilstaan.,"[""de kinderen"", ""Piet"", ""de trein""]",,
3np_t1_010_C,1,3,C,perception,zien,de kinderen,Piet,animate,laten,selectional_restriction,true,Hij weet dat de kinderen Piet de trein zien laten stilstaan.,Hij weet dat de trein Piet de kinderen stilstaan laten zien.,"[""de kinderen"", ""Piet"", ""de trein"", ""zien"", ""laten"", ""stilstaan""]",,
3np_t1_010_D1,1,3,D1,perception,zien,de kinderen,Piet,animate,laten,verb_order_partial,false,Hij weet dat de kinderen Piet de trein zien laten stilstaan.,Hij weet dat de kinderen Piet de trein zien stilstaan laten.,"[""laten"", ""stilstaan""]",,
3np_t1_010_D2,1,3,D2,perception,zien,de kinderen,Piet,animate,laten,verb_order_partial,false,Hij weet dat de kinderen Piet de trein zien laten stilstaan.,Hij weet dat de kinderen Piet de trein laten zien stilstaan.,"[""zien"", ""laten""]",,
3np_t1_011_A,1,3,A,perception,zien,de vrienden,Jan,animate,laten,verb_order,false,Hij verwacht dat de vrienden Jan de bus zien laten bewegen.,Hij verwacht dat de vrienden Jan de bus bewegen laten zien.,"[""zien"", ""laten"", ""bewegen""]",,
3np_t1_011_B,1,3,B,perception,zien,de vrienden,Jan,animate,laten,selectional_restriction,false,Hij verwacht dat de vrienden Jan de bus zien laten bewegen.,Hij verwacht dat de bus Jan de vrienden zien laten bewegen.,"[""de vrienden"", ""Jan"", ""de bus""]",,
3np_t1_011_C,1,3,C,perception,zien,de vrienden,Jan,animate,laten,selectional_restriction,true,Hij verwacht dat de vrienden Jan de bus zien laten bewegen.,Hij verwacht dat de bus Jan de vrienden bewegen laten zien.,"[""de vrienden"", ""Jan"", ""de bus"", ""zien"", ""laten"", ""bewegen""]",,
3np_t1_011_D1,1,3,D1,perception,zien,de vrienden,Jan,animate,laten,verb_order_partial,false,Hij verwacht dat de vrienden Jan de bus zien laten bewegen.,Hij verwacht dat de vrienden Jan de bus zien bewegen laten.,"[""laten"", ""bewegen""]",,
3np_t1_011_D2,1,3,D2,perception,zien,de vrienden,Jan,animate,laten,verb_order_partial,false,Hij verwacht dat de vrienden Jan de bus zien laten bewegen.,Hij verwacht dat de vrienden Jan de bus laten zien bewegen.,"[""zien"", ""laten""]",,
3np_t1_012_A,1,3,A,perception,horen,Els,de man,animate,laten,verb_order,false,Ik denk dat Els de man de auto hoort laten bewegen.,Ik denk dat Els de man de auto bewegen laten hoort.,"[""hoort"", ""laten"", ""bewegen""]",,
3np_t1_012_B,1,3,B,perception,horen,Els,de man,animate,laten,selectional_restriction,false,Ik denk dat Els de man de auto hoort laten bewegen.,Ik denk dat de auto de man Els hoort laten bewegen.,"[""Els"", ""de man"", ""de auto""]",,
3np_t1_012_C,1,3,C,perception,horen,Els,de man,animate,laten,selectional_restriction,true,Ik denk dat Els de man de auto hoort laten bewegen.,Ik denk dat de auto de man Els bewegen laten hoort.,"[""Els"", ""de man"", ""de auto"", ""hoort"", ""laten"", ""bewegen""]",,
3np_t1_012_D1,1,3,D1,perception,horen,Els,de man,animate,laten,verb_order_partial,false,Ik denk dat Els de man de auto hoort laten bewegen.,Ik denk dat Els de man de auto hoort bewegen laten.,"[""laten"", ""bewegen""]",,
3np_t1_012_D2,1,3,D2,perception,horen,Els,de man,animate,laten,verb_order_partial,false,Ik denk dat Els de man de auto hoort laten bewegen.,Ik denk dat Els de man de auto laten hoort bewegen.,"[""hoort"", ""laten""]",,
3np_t1_013_A,1,3,A,perception,zien,de studenten,Piet,animate,laten,verb_order,false,Ze begrijpen dat de studenten Piet de kinderen zien laten werken.,Ze begrijpen dat de studenten Piet de kinderen werken laten zien.,"[""zien"", ""laten"", ""werken""]",,
3np_t1_013_D1,1,3,D1,perception,zien,de studenten,Piet,animate,laten,verb_order_partial,false,Ze begrijpen dat de studenten Piet de kinderen zien laten werken.,Ze begrijpen dat de studenten Piet de kinderen zien werken laten.,"[""laten"", ""werken""]",,
3np_t1_013_D2,1,3,D2,perception,zien,de studenten,Piet,animate,laten,verb_order_partial,false,Ze begrijpen dat de studenten Piet de kinderen zien laten werken.,Ze begrijpen dat de studenten Piet de kinderen laten zien werken.,"[""zien"", ""laten""]",,
3np_t1_014_A,1,3,A,perception,zien,de directeur,Marie,animate,laten,verb_order,false,Ik denk dat de directeur Marie de kinderen ziet laten werken.,Ik denk dat de directeur Marie de kinderen werken laten ziet.,"[""ziet"", ""laten"", ""werken""]",,
3np_t1_014_B,1,3,B,perception,zien,de directeur,Marie,animate,laten,agreement_violation,false,Ik denk dat de directeur Marie de kinderen ziet laten werken.,Ik denk dat de kinderen Marie de directeur ziet laten werken.,"[""de directeur"", ""Marie"", ""de kinderen""]",,
